City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
532,Vangaindrano,MG,77.58,clear sky,-23.35,47.6,Hotel Fanilo
539,Narrabri,AU,87.8,broken clouds,-30.3167,149.7833,Crossroads Hotel
541,Esperance,AU,84.2,scattered clouds,-33.8667,121.9,Hospitality Esperance
551,Sinnamary,GF,77.86,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
553,Qui Nhon,VN,76.19,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
554,Da Nang,VN,78.8,scattered clouds,16.0678,108.2208,Grand Mercure Danang
556,Keningau,MY,87.8,few clouds,5.3378,116.1602,Sabindo Hotel
557,Port Augusta,AU,78.8,clear sky,-32.5,137.7667,Majestic Oasis Apartments
564,Kawalu,ID,84.79,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
567,Manaus,BR,75.2,clear sky,-3.1019,-60.025,Hotel do Largo
571,Saint-Joseph,RE,84.2,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
581,Batticaloa,LK,80.35,few clouds,7.7102,81.6924,Grand Star Guest House
582,Mahina,PF,87.8,scattered clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
585,Koungou,YT,77.0,light rain,-12.7336,45.2042,Villa Netibor
590,Christchurch,NZ,78.8,broken clouds,-43.5333,172.6333,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
594,Buchanan,LR,75.2,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
595,Noumea,NC,84.99,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
597,Wuzhou,CN,82.08,few clouds,23.4833,111.3167,Wuzhou Hostel
608,Porto Novo,BJ,79.34,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
612,Guatire,VE,80.6,few clouds,10.4762,-66.5427,Parque Residencial Canaima I
613,Samarai,PG,85.57,overcast clouds,-10.6167,150.6667,Nuli Sapi
619,Poum,NC,81.3,clear sky,-20.2333,164.0167,Gîte kajeon
