City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Les Cayes,HT,18.2,-73.75,73.47,72,45,6.44,scattered clouds
142,Los Llanos De Aridane,ES,28.6585,-17.9182,62.6,77,75,2.3,broken clouds
143,Lodwar,KE,3.1191,35.5973,80.58,47,92,5.17,overcast clouds
144,Maceio,BR,-9.6658,-35.7353,73.4,94,40,4.61,scattered clouds
145,Gashua,NG,12.871,11.0482,62.62,25,0,10.02,clear sky
146,Mahebourg,MU,-20.4081,57.7,80.6,78,40,8.05,scattered clouds
147,Cherskiy,RU,68.75,161.3,4.98,74,0,1.57,clear sky
148,Gat,IL,31.61,34.7642,53.01,87,0,3.44,clear sky
149,Tual,ID,-5.6667,132.75,83.61,78,85,19.66,overcast clouds
150,Mana,GF,5.6592,-53.7767,77.02,87,100,11.43,overcast clouds
151,Marsa Matruh,EG,31.3525,27.2453,55.4,76,0,9.22,clear sky
152,La Palma,US,33.8464,-118.0467,57.2,88,1,4.05,clear sky
153,El Chol,GT,14.9642,-90.4806,66.2,77,20,16.11,few clouds
154,Ostrovnoy,RU,68.0531,39.5131,9.23,94,100,11.92,light snow
155,Strathroy,CA,42.9551,-81.6223,7.0,61,93,9.26,overcast clouds
156,Sayhat,SA,26.4852,50.0405,55.4,53,0,10.36,clear sky
157,Chokurdakh,RU,70.6333,147.9167,-11.92,89,96,6.8,overcast clouds
158,Salalah,OM,17.0151,54.0924,68.0,77,20,3.44,few clouds
159,Oga,IT,46.4631,10.347,35.01,80,75,4.61,snow
160,Tongzhou,CN,39.9053,116.5994,39.2,24,0,4.47,clear sky
161,Aklavik,CA,68.2191,-135.0107,-25.6,75,100,10.36,overcast clouds
162,Vao,NC,-22.6667,167.4833,78.64,75,23,4.07,few clouds
163,Kahta,TR,37.7855,38.6237,46.4,81,0,3.04,clear sky
164,Sioux Lookout,CA,50.1001,-91.917,-20.2,63,1,8.05,clear sky
165,Vysokogornyy,RU,50.1167,139.15,-2.15,88,100,12.03,light snow
166,Bithur,IN,26.6333,80.2833,57.2,88,0,2.3,mist
167,Opelousas,US,30.5335,-92.0815,48.0,87,1,3.44,clear sky
168,Ust-Kulom,RU,61.6864,53.6902,-18.02,86,100,8.41,overcast clouds
169,Tuatapere,NZ,-46.1333,167.6833,65.21,72,100,2.46,overcast clouds
170,Bengkulu,ID,-3.8004,102.2655,85.19,61,42,10.07,scattered clouds
171,Palmer,US,42.1584,-72.3287,28.4,69,90,13.8,overcast clouds
172,Yinchuan,CN,38.4681,106.2731,37.42,62,27,0.96,scattered clouds
173,Fort Nelson,CA,58.8053,-122.7002,-18.4,69,90,6.91,light snow
174,Deputatskiy,RU,69.3,139.9,-21.03,85,72,2.75,broken clouds
175,Klichka,RU,50.4457,117.996,-2.76,86,40,4.38,scattered clouds
176,Hamilton,US,39.1834,-84.5333,18.0,48,40,10.36,scattered clouds
177,Victoria,HK,22.2855,114.1577,77.0,77,15,3.0,few clouds
178,Egvekinot,RU,66.3167,-179.1667,-14.28,87,22,17.11,few clouds
179,Tabou,CI,4.423,-7.3528,78.19,90,9,5.93,clear sky
180,Kamloops,CA,50.6665,-120.3192,26.6,63,75,2.3,broken clouds
181,Misratah,LY,32.3754,15.0925,64.62,45,76,18.01,broken clouds
182,Maracana,BR,-0.7667,-47.45,74.52,97,34,2.98,scattered clouds
183,Muzaffarabad,PK,34.37,73.4711,61.21,31,99,3.89,overcast clouds
184,Nikolskoye,RU,59.7035,30.7861,10.99,85,40,4.47,scattered clouds
185,Dingle,PH,10.9995,122.6711,75.58,92,100,8.84,moderate rain
186,Flic En Flac,MU,-20.2742,57.3631,82.99,78,40,8.05,scattered clouds
187,Nanortalik,GL,60.1432,-45.2371,31.71,87,96,15.48,overcast clouds
188,Teguise,ES,29.0605,-13.564,60.8,72,90,2.3,overcast clouds
189,Lavrentiya,RU,65.5833,-171.0,-10.7,84,25,9.71,scattered clouds
190,Sitka,US,57.0531,-135.33,33.8,37,90,8.05,overcast clouds
191,Konevo,RU,62.1215,39.3192,-15.29,89,92,5.32,overcast clouds
192,Yulara,AU,-25.2406,130.9889,95.0,16,0,17.27,clear sky
193,Buraydah,SA,26.326,43.975,51.8,100,40,5.75,scattered clouds
194,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,77,20,17.27,few clouds
195,Vestmannaeyjar,IS,63.4427,-20.2734,37.4,87,20,28.77,few clouds
