City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Vaini,TO,2021-02-07 20:20:14,-21.2,-175.2,78.8,78,75,12.66
89,Busselton,AU,2021-02-07 20:18:30,-33.65,115.3333,62.01,99,94,1.99
90,Seoul,KR,2021-02-07 20:20:12,37.5683,126.9778,26.6,54,0,10.36
91,Requena,ES,2021-02-07 20:20:14,39.4883,-1.1004,57.99,61,74,22.86
92,Anchorage,US,2021-02-07 20:18:29,61.2181,-149.9003,10.4,92,40,4.61
93,Severo-Kurilsk,RU,2021-02-07 20:20:15,50.6789,156.125,15.31,87,26,9.8
94,Northam,GB,2021-02-07 20:20:15,51.0333,-4.2167,36.0,72,33,13.0
95,Bambous Virieux,MU,2021-02-07 20:17:27,-20.3428,57.7575,81.0,78,75,9.22
96,Bredasdorp,ZA,2021-02-07 20:20:15,-34.5322,20.0403,64.4,68,3,5.75
97,Upernavik,GL,2021-02-07 20:20:15,72.7868,-56.1549,18.48,79,3,3.33
98,Maryborough,AU,2021-02-07 20:20:15,-25.5333,152.7,79.0,88,19,3.0
99,Arman,RU,2021-02-07 20:20:15,59.7,150.1667,11.77,84,100,17.96
100,Guerrero Negro,MX,2021-02-07 20:20:15,27.9769,-114.0611,76.14,19,0,4.52
101,Oranjemund,NA,2021-02-07 20:20:15,-28.55,16.4333,63.55,80,0,23.6
102,Tomatlan,MX,2021-02-07 20:20:16,19.9333,-105.25,85.75,49,1,9.93
103,Pringsewu,ID,2021-02-07 20:20:16,-5.3582,104.9744,73.22,94,98,2.68
104,Dhidhdhoo,MV,2021-02-07 20:18:22,6.8833,73.1,81.21,72,62,8.23
105,Eureka,US,2021-02-07 20:20:16,40.8021,-124.1637,55.0,75,0,8.01
106,Fortuna,US,2021-02-07 20:20:16,40.5982,-124.1573,54.0,87,1,4.61
107,Charters Towers,AU,2021-02-07 20:20:16,-20.1,146.2667,76.68,89,100,8.03
108,Huarmey,PE,2021-02-07 20:20:16,-10.0681,-78.1522,76.75,63,93,10.67
109,Kavaratti,IN,2021-02-07 20:20:16,10.5669,72.642,80.73,71,4,8.32
110,La Ronge,CA,2021-02-07 20:20:16,55.1001,-105.2842,-27.4,51,60,5.75
111,Grindavik,IS,2021-02-07 20:20:16,63.8424,-22.4338,33.8,64,0,16.11
112,San Ignacio,BZ,2021-02-07 20:20:17,17.1561,-89.0714,89.01,62,20,4.61
113,Caraguatatuba,BR,2021-02-07 20:20:17,-23.6338,-45.4899,77.0,60,75,18.41
114,Havre-Saint-Pierre,CA,2021-02-07 20:20:17,50.2334,-63.5986,24.8,63,1,13.8
115,Govindgarh,IN,2021-02-07 20:20:17,27.5,76.9833,54.0,49,0,3.69
116,Macas,EC,2021-02-07 20:20:17,-2.3167,-78.1167,82.4,44,20,6.91
117,Airai,TL,2021-02-07 20:20:17,-8.9266,125.4092,60.64,100,100,2.62
118,Meadow Lake,US,2021-02-07 20:20:18,34.8014,-106.5436,60.01,15,1,4.61
119,Narsaq,GL,2021-02-07 20:20:18,60.9167,-46.05,37.4,28,51,49.48
120,Marsaxlokk,MT,2021-02-07 20:20:18,35.8419,14.5431,64.4,72,0,14.97
121,Constitucion,CL,2021-02-07 20:20:18,-35.3333,-72.4167,65.86,70,3,8.81
122,Kapaa,US,2021-02-07 20:18:58,22.0752,-159.319,72.0,56,1,2.01
123,Hofn,IS,2021-02-07 20:20:18,64.2539,-15.2082,35.85,92,100,19.06
124,Wilmington,US,2021-02-07 20:20:14,34.2257,-77.9447,51.8,62,40,19.57
125,Motygino,RU,2021-02-07 20:20:18,58.1831,94.7592,31.91,97,100,10.49
126,Batouri,CM,2021-02-07 20:20:18,4.4333,14.3667,76.32,25,94,2.35
127,Lebu,CL,2021-02-07 20:20:18,-37.6167,-73.65,63.18,76,6,7.74
128,Laguna,US,2021-02-07 20:20:18,38.421,-121.4238,63.0,55,1,4.29
129,Nikolskoye,RU,2021-02-07 20:20:19,59.7035,30.7861,17.6,86,75,13.42
130,Cherskiy,RU,2021-02-07 20:20:19,68.75,161.3,-3.55,69,10,1.9
131,Port Elizabeth,ZA,2021-02-07 20:20:19,-33.918,25.5701,66.2,94,90,6.91
132,Hilo,US,2021-02-07 20:20:19,19.7297,-155.09,78.8,53,1,4.61
